date,open,close,high,low,volume,code
2017-03-10 10:30,6.7,6.57,6.71,6.55,268724.0,511
2017-03-10 11:00,6.58,6.57,6.62,6.55,90308.0,511
2017-03-10 11:30,6.58,6.63,6.68,6.57,48056.0,511
2017-03-10 13:30,6.63,6.63,6.64,6.58,30590.0,511
2017-03-10 14:00,6.64,6.58,6.66,6.57,53514.0,511
2017-03-10 14:30,6.58,6.55,6.59,6.55,128601.0,511
2017-03-10 15:00,6.55,6.55,6.55,6.55,30345.0,511
2017-03-13 10:00,6.4,6.36,6.44,6.22,251431.0,511
2017-03-13 10:30,6.37,6.32,6.37,6.29,85211.0,511
2017-03-13 11:00,6.33,6.41,6.44,6.33,42484.0,511
2017-03-13 11:30,6.41,6.38,6.42,6.37,18880.0,511
2017-03-13 13:30,6.38,6.4,6.41,6.36,26268.0,511
2017-03-13 14:00,6.4,6.48,6.48,6.37,35944.0,511
2017-03-13 14:30,6.48,6.48,6.53,6.45,51219.0,511
2017-03-13 15:00,6.49,6.47,6.5,6.43,56881.0,511
2017-03-14 10:00,6.68,6.66,6.79,6.61,293350.0,511
2017-03-14 10:30,6.66,6.7,6.7,6.61,71973.0,511
2017-03-14 11:00,6.7,6.69,6.74,6.69,52454.0,511
2017-03-14 11:30,6.69,6.7,6.71,6.67,21763.0,511
2017-03-14 13:30,6.7,6.65,6.71,6.64,32434.0,511
2017-03-14 14:00,6.65,6.66,6.68,6.63,23840.0,511
2017-03-14 14:30,6.66,6.6,6.67,6.59,46119.0,511
2017-03-14 15:00,6.6,6.61,6.67,6.6,51677.0,511
2017-03-15 10:00,6.54,6.67,6.75,6.51,139196.0,511
2017-03-15 10:30,6.67,6.62,6.68,6.62,43490.0,511
2017-03-15 11:00,6.62,6.65,6.66,6.61,24138.0,511
2017-03-15 11:30,6.65,6.65,6.68,6.64,21912.0,511
2017-03-15 13:30,6.65,6.64,6.65,6.61,29741.0,511
2017-03-15 14:00,6.63,6.58,6.64,6.55,55694.0,511
2017-03-15 14:30,6.57,6.56,6.59,6.53,43188.0,511
2017-03-15 15:00,6.56,6.56,6.59,6.55,50093.0,511
2017-03-16 10:00,6.55,6.58,6.68,6.55,94482.0,511
2017-03-16 10:30,6.58,6.59,6.6,6.57,30798.0,511
2017-03-16 11:00,6.59,6.58,6.59,6.56,29389.0,511
2017-03-16 11:30,6.58,6.62,6.64,6.57,32375.0,511
2017-03-16 13:30,6.62,6.63,6.64,6.61,27806.0,511
2017-03-16 14:00,6.63,6.69,6.73,6.6,88667.0,511
2017-03-16 14:30,6.69,6.67,6.71,6.67,47434.0,511
2017-03-16 15:00,6.68,6.69,6.72,6.67,62154.0,511
2017-03-17 10:00,6.7,6.93,6.98,6.69,226372.0,511
2017-03-17 10:30,6.94,6.92,6.96,6.88,96020.0,511
2017-03-17 11:00,6.92,6.83,6.92,6.83,51619.0,511
2017-03-17 11:30,6.83,6.85,6.88,6.83,39217.0,511
2017-03-17 13:30,6.85,6.83,6.87,6.83,32243.0,511
2017-03-17 14:00,6.83,6.83,6.85,6.83,29087.0,511
2017-03-17 14:30,6.83,6.83,6.84,6.79,48007.0,511
2017-03-17 15:00,6.83,6.78,6.84,6.74,74866.0,511
2017-03-20 10:00,6.84,6.97,6.98,6.79,127253.0,511
2017-03-20 10:30,6.97,6.91,6.97,6.89,76026.0,511
2017-03-20 11:00,6.92,6.87,6.94,6.87,40714.0,511
2017-03-20 11:30,6.87,6.88,6.88,6.84,26973.0,511
2017-03-20 13:30,6.88,6.94,6.94,6.86,34615.0,511
2017-03-20 14:00,6.94,6.91,6.95,6.89,46933.0,511
2017-03-20 14:30,6.91,6.91,6.93,6.88,31823.0,511
2017-03-20 15:00,6.92,7.0,7.0,6.9,155783.0,511
