关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
600696,【公告汇总】5月21日上市公司股票异常波动一览,*ST岩石（600696）发布公告，公司股票在2025年5月19日、20日和21日连续3个交易日涨停，日收盘价格涨幅偏离值累计达,2025-05-21 20:30:34,财中社,http://finance.eastmoney.com/a/202505213410951635.html
600696,岩石股份：公司股票将被实施退市风险警示 股票停牌,025年4月23日（星期三）起实施退市风险警示，股票简称变更为*ST岩石。,2025-04-21 18:40:21,财联社,http://finance.eastmoney.com/a/202504213383119044.html
600696,*ST岩石称副董事长陈琪辞去副董事长职务；茅台酱香酒公示平台运营商招募结果丨酒业早参,丨2025年5月15日星期四丨NO.1 *ST岩石：副董事长陈琪辞去副董事长职务5月14日，*ST岩石公告称，,2025-05-15 14:03:42,每日经济新闻,http://finance.eastmoney.com/a/202505153405484264.html
600696,岩石股份：公司股票4月23日起被实施退市风险警示,停牌一天，于4月23日起实施退市风险警示，公司股票简称变更为“*ST岩石”，公司股票价格的日涨跌幅限制为,2025-04-21 19:25:03,人民财讯,http://finance.eastmoney.com/a/202504213383172273.html
600696,58只股上午收盘涨停(附股),*ST岩石 6.005.73312.961877.76食品饮料002569*ST步森8.207.22189.971557.75,2025-05-09 11:46:05,证券时报网,http://finance.eastmoney.com/a/202505093400485637.html
600696,涨停股复盘：20股封单超亿元,*ST岩石6.2510.54--食品饮料600753*ST庚星4.895.59--交通运输,2025-05-06 15:42:17,证券时报网,http://finance.eastmoney.com/a/202505063396715940.html
600696,白酒A股本周4家上涨 燕京啤酒领涨啤酒股,*ST岩石22.61%列周涨幅第一 5月23日，*ST岩石上涨0.95%，以7.43元报收，换手率8.03%，成交量26.86,2025-05-25 23:40:32,上游新闻,http://finance.eastmoney.com/a/202505253413845834.html
600696,顺鑫农业2024年营收跌破百亿元；天佑德酒今年一季度营收净利“双降”丨酒业早参,公司股票于4月23日起被实施退市风险警示，简称变更为*ST岩石。点评：*ST岩石复牌后一字跌停，,2025-04-24 09:03:42,每日经济新闻,http://finance.eastmoney.com/a/202504243386666868.html
600696,将被实施退市风险警示 岩石股份4月22日停牌一天,公司股票将在风险警示板交易，A股股票简称由“岩石股份”变更为“*ST岩石”。,2025-04-21 20:02:48,北京商报,http://finance.eastmoney.com/a/202504213383201646.html
600696,这家公司将被实施退市风险警示 股票停牌一天|盘后公告集锦,025年4月23日（星期三）起实施退市风险警示，股票简称变更为*ST岩石。【奥维通信：公司股票交易可能被实施退市风险警示】奥维通信(002231.SZ)公告称，,2025-04-21 20:16:15,财联社,http://finance.eastmoney.com/a/202504213383220722.html
