===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
776,,776,2020-03-18 15:00:00,69.04128573923477,69.22607013549417,67.93257936167838,67.95203035075833,36034600.0,0.0,TestStrategy,776,737502.625,Broker,776,848451.4548817449,977560.3125481857,BuySell,776,,,Trades - Net Profit/Loss,776,,,DrawDown,776,5.571492986851915,5.571492986851915
777,,777,2020-03-19 10:30:00,67.20316727118076,67.81587342719877,65.4720292430664,65.95830397006482,56792000.0,0.0,TestStrategy,777,737503.4375,Broker,777,848451.4548817449,973772.232424868,BuySell,777,,,Trades - Net Profit/Loss,777,,,DrawDown,777,5.9374067273132605,5.9374067273132605
778,,778,2020-03-19 11:30:00,65.94857847552485,65.95830397006482,64.52865627268949,65.23861737410716,29568300.0,0.0,TestStrategy,778,737503.4791666666,Broker,778,973722.4284104662,973722.4284104662,BuySell,778,,66.94767852961579,Trades - Net Profit/Loss,778,,-8712.722871927765,DrawDown,778,5.942217600527795,5.942217600527795
779,,779,2020-03-19 14:00:00,65.2288918795672,66.2403433117239,64.83987209796848,65.89022550828504,18533300.0,0.0,TestStrategy,779,737503.5833333334,Broker,779,836687.0816507197,975056.5552181184,BuySell,779,63.86727401649895,,Trades - Net Profit/Loss,779,,,DrawDown,779,5.813346163138499,5.942217600527795
780,,780,2020-03-19 15:00:00,65.88050001374508,66.59046111516277,65.54010770484619,65.94857847552485,18782400.0,0.0,TestStrategy,780,737503.625,Broker,780,836687.0816507197,975179.096449322,BuySell,780,,,Trades - Net Profit/Loss,780,,,DrawDown,780,5.801509158954128,5.942217600527795
781,,781,2020-03-20 10:30:00,66.82387298412199,67.49493210737981,66.16253935540416,67.00865738038141,32586400.0,0.0,TestStrategy,781,737504.4375,Broker,781,836687.0816507197,977405.2621495207,BuySell,781,,,Trades - Net Profit/Loss,781,,,DrawDown,781,5.5864702496047025,5.942217600527795
782,,782,2020-03-20 11:30:00,67.00865738038141,67.08646133670115,66.13336287178424,66.23061781718393,14216500.0,0.0,TestStrategy,782,737504.4791666666,Broker,782,836687.0816507197,975771.379066806,BuySell,782,,,Trades - Net Profit/Loss,782,,,DrawDown,782,5.744296972062993,5.942217600527795
783,,783,2020-03-20 14:00:00,66.32787276258362,66.90167694044176,65.53038221030621,66.211166828104,17633300.0,0.0,TestStrategy,783,737504.5833333334,Broker,783,836687.0816507197,975730.5319897381,BuySell,783,,,Trades - Net Profit/Loss,783,,,DrawDown,783,5.748242640124458,5.942217600527795
784,,784,2020-03-20 15:00:00,66.211166828104,67.27124573296055,66.20144133356403,67.10591232578108,24290800.0,0.0,TestStrategy,784,737504.625,Broker,784,836687.0816507197,977609.49753486,BuySell,784,,,Trades - Net Profit/Loss,784,,,DrawDown,784,5.566741909297413,5.942217600527795
785,,785,2020-03-23 10:30:00,64.1882639637906,65.21916638502724,64.1882639637906,64.83987209796848,32096000.0,0.0,TestStrategy,785,737507.4375,Broker,785,836687.0816507197,972850.8130564536,BuySell,785,,,Trades - Net Profit/Loss,785,,,DrawDown,785,6.026412238457193,6.026412238457193
786,,786,2020-03-23 11:30:00,64.8301466034285,65.63736265024586,64.8301466034285,65.63736265024586,9931500.0,0.0,TestStrategy,786,737507.4791666666,Broker,786,836687.0816507197,974525.543216236,BuySell,786,,,Trades - Net Profit/Loss,786,,,DrawDown,786,5.864639847937449,6.026412238457193
787,,787,2020-03-23 14:00:00,65.63736265024586,65.63736265024586,64.8301466034285,64.84959759250845,11104500.0,0.0,TestStrategy,787,737507.5833333334,Broker,787,836687.0816507197,972871.2365949875,BuySell,787,,,Trades - Net Profit/Loss,787,,,DrawDown,787,6.024439404426473,6.026412238457193
788,,788,2020-03-23 15:00:00,64.84959759250845,65.54010770484619,64.84959759250845,64.92740154882819,15276300.0,0.0,TestStrategy,788,737507.625,Broker,788,836687.0816507197,973034.6249032589,BuySell,788,,,Trades - Net Profit/Loss,788,,,DrawDown,788,6.008656732180647,6.026412238457193
