,持仓金额,账面现金,基金申赎,总资产,份额确认,基金份额,基金净值
2019-03-11,568096.8,229021.25,0.0,797118.05,0.0,875296.9013295516,0.9106830479911444
2019-03-12,575279.5,229021.25,0.0,804300.75,0.0,875296.9013295516,0.918889063560364
2019-03-13,569619.1000000001,229021.25,0.0,798640.3500000001,0.0,875296.9013295516,0.9124222292880138
2019-03-14,563381.6000000001,229021.25,0.0,792402.8500000001,0.0,875296.9013295516,0.9052960758759253
2019-03-15,569031.8,229021.25,0.0,798053.05,0.0,875296.9013295516,0.9117512569595296
2019-03-18,584713.1000000001,229021.25,0.0,813734.3500000001,0.0,875296.9013295516,0.9296666636931541
2019-03-19,582893.0,229021.25,0.0,811914.25,0.0,875296.9013295516,0.9275872549836802
2019-03-20,581433.9,229106.31,0.0,810540.21,0.0,875296.9013295516,0.9260174562126428
2019-03-21,582408.6,229106.31,0.0,811514.9099999999,0.0,875296.9013295516,0.9271310212195786
2019-03-22,584044.7999999999,229106.31,0.0,813151.1099999999,0.0,875296.9013295516,0.9290003297907784
2019-03-25,576765.1,229106.31,0.0,805871.4099999999,0.0,875296.9013295516,0.9206834946815232
2019-03-26,566541.1,229106.31,0.0,795647.4099999999,0.0,875296.9013295516,0.9090028866678651
2019-03-27,569526.2,229106.31,0.0,798632.51,0.0,875296.9013295516,0.912413272327252
2019-03-28,567298.2000000001,229106.31,0.0,796404.51,0.0,875296.9013295516,0.909867850314886
2019-03-29,589395.2,229106.31,0.0,818501.51,0.0,875296.9013295516,0.9351129985228087
2019-04-01,607026.1000000001,229106.31,0.0,836132.4100000001,0.0,875296.9013295516,0.955255763764202
2019-04-02,606403.3999999999,229106.31,0.0,835509.71,0.0,875296.9013295516,0.9545443480159521
2019-04-03,613674.2,229106.31,0.0,842780.51,0.0,875296.9013295516,0.9628510151467918
2019-04-04,619640.3,229106.31,0.0,848746.6100000001,0.0,875296.9013295516,0.9696671023406774
2019-04-08,614724.2000000001,229106.31,0.0,843830.51,0.0,875296.9013295516,0.964050608105941
2019-04-09,616824.1,229106.31,0.0,845930.4099999999,0.0,875296.9013295516,0.9664496797772907
2019-04-10,616769.0,229106.31,0.0,845875.31,0.0,875296.9013295516,0.9663867297086726
2019-04-11,606331.2000000001,229106.31,0.0,835437.51,0.0,875296.9013295516,0.954461861719142
2019-04-12,604609.6,229106.31,0.0,833715.9099999999,0.0,875296.9013295516,0.9524949862539314
2019-04-15,601334.9,229106.31,0.0,830441.21,0.0,875296.9013295516,0.9487537414317164
2019-04-16,617482.6,229106.31,0.0,846588.9099999999,0.0,875296.9013295516,0.9672019959331
2019-04-17,616426.3,229106.31,0.0,845532.6100000001,0.0,875296.9013295516,0.9659952054161961
2019-04-18,616175.0,229106.31,0.0,845281.31,0.0,875296.9013295516,0.9657081028346397
2019-04-19,622869.7000000001,229106.31,0.0,851976.01,0.0,875296.9013295516,0.9733565932952262
2019-04-22,609492.0999999999,229106.31,0.0,838598.4099999999,0.0,875296.9013295516,0.9580730935139748
2019-04-23,604721.8,229106.31,0.0,833828.1100000001,0.0,875296.9013295516,0.9526231713301377
2019-04-24,606717.4999999999,229106.31,0.0,835823.8099999998,0.0,875296.9013295516,0.9549031976811603
2019-04-25,592115.3,229106.31,0.0,821221.6100000001,0.0,875296.9013295516,0.938220629768696
2019-04-26,585451.8999999999,229106.31,0.0,814558.21,0.0,875296.9013295516,0.9306078986029869
2019-04-29,583865.3999999999,229106.31,0.0,812971.71,0.0,875296.9013295516,0.9287953707651868
2019-04-30,585192.2,229106.31,0.0,814298.51,0.0,875296.9013295516,0.9303111992777574
2019-05-06,550806.6,229106.31,0.0,779912.9099999999,0.0,875296.9013295516,0.8910267005576439
2019-05-07,555877.7999999999,229106.31,0.0,784984.1099999999,0.0,875296.9013295516,0.8968203918094887
2019-05-08,572362.8999999999,207031.69,0.0,779394.5899999999,0.0,875296.9013295516,0.8904345357742284
2019-05-09,566036.7000000001,207031.69,0.0,773068.3900000001,0.0,875296.9013295516,0.8832070453188293
2019-05-10,584223.4,207031.69,0.0,791255.0900000001,0.0,875296.9013295516,0.903984795099932
2019-05-13,575822.9,206456.49,0.0,782279.39,0.0,875296.9013295516,0.8937303317442795
2019-05-14,572320.2,206456.49,0.0,778776.69,0.0,875296.9013295516,0.8897286038795064
2019-05-15,582222.7999999999,206456.49,0.0,788679.2899999999,0.0,875296.9013295516,0.9010420222007162
2019-05-16,586636.4999999999,206456.49,0.0,793092.9899999999,0.0,875296.9013295516,0.9060845397662367
2019-05-17,572441.6000000001,206456.49,0.0,778898.0900000001,0.0,875296.9013295516,0.8898672996749738
2019-05-20,572372.6,206456.49,0.0,778829.09,0.0,875296.9013295516,0.8897884692805154
2019-05-21,579168.7,206456.49,0.0,785625.19,0.0,875296.9013295516,0.897552806146871
2019-05-22,577223.3,206456.49,0.0,783679.79,0.0,875296.9013295516,0.895330246010939
2019-05-23,569044.7999999999,206456.49,0.0,775501.2899999999,0.0,875296.9013295516,0.8859865593286519
2019-05-24,564542.7,206456.49,0.0,770999.19,0.0,875296.9013295516,0.8808430474606658
2019-05-27,575676.1,206456.49,0.0,782132.59,0.0,875296.9013295516,0.8935626172238955
2019-05-28,576352.9,206456.49,0.0,782809.39,0.0,875296.9013295516,0.8943358405712786
2019-05-29,576941.7000000001,206456.49,0.0,783398.1900000001,0.0,875296.9013295516,0.8950085266039901
2019-05-30,575078.1,206456.49,0.0,781534.59,0.0,875296.9013295516,0.8928794204719229
2019-05-31,573156.2999999999,206456.49,0.0,779612.7899999999,0.0,875296.9013295516,0.8906838226158345
2019-06-03,571651.0,206456.49,0.0,778107.49,0.0,875296.9013295516,0.8889640633002086
2019-06-04,564601.8999999999,206456.49,0.0,771058.3899999999,0.0,875296.9013295516,0.8809106816541721
2019-06-05,563320.1,206456.49,0.0,769776.59,0.0,875296.9013295516,0.8794462642684223
2019-06-06,556168.4999999999,206456.49,0.0,762624.9899999999,0.0,875296.9013295516,0.8712757795001831
2019-06-10,562737.2000000001,206456.49,0.0,769193.6900000001,0.0,875296.9013295516,0.8787803188056719
2019-06-11,579650.2999999999,206456.49,0.0,786106.7899999999,0.0,875296.9013295516,0.8981030194508007
2019-06-12,683011.7000000001,103286.63999999998,0.0,786298.3400000001,0.0,875296.9013295516,0.8983218594806344
2019-06-13,680916.3,103286.63999999998,0.0,784202.9400000001,0.0,875296.9013295516,0.8959279289219666
2019-06-14,672271.8,103286.63999999998,0.0,775558.4400000001,0.0,875296.9013295516,0.8860518514597143
2019-06-17,646982.7,125300.02999999998,0.0,772282.73,0.0,875296.9013295516,0.8823094527433195
2019-06-18,644426.3,45300.029999999984,-80000.0,689726.3300000001,-90671.13556503346,784625.7657645182,0.8790513389882747
2019-06-19,658155.3,45300.029999999984,0.0,703455.3300000001,0.0,784625.7657645182,0.8965488525788752
2019-06-20,672013.4,45400.429999999986,0.0,717413.83,0.0,784625.7657645182,0.9143388622994955
2019-06-21,679052.0,45400.429999999986,0.0,724452.4299999999,0.0,784625.7657645182,0.9233095083158696
2019-06-24,678639.9,45400.429999999986,0.0,724040.33,0.0,784625.7657645182,0.9227842897747751
2019-06-25,671474.8999999999,45400.429999999986,0.0,716875.3299999998,0.0,784625.7657645182,0.9136525478506251
2019-06-26,675275.7,45400.429999999986,0.0,720676.1299999999,0.0,784625.7657645182,0.9184966406217778
2019-06-27,683601.1000000001,45400.429999999986,0.0,729001.53,0.0,784625.7657645182,0.9291073041549694
2019-06-28,677441.2999999999,45400.429999999986,0.0,722841.7299999999,0.0,784625.7657645182,0.9212566825353771
2019-07-01,697176.7,45400.429999999986,0.0,742577.1299999999,0.0,784625.7657645182,0.9464093105283801
2019-07-02,696073.0,45400.429999999986,0.0,741473.4299999999,0.0,784625.7657645182,0.9450026526691081
2019-07-03,693676.0,45400.429999999986,0.0,739076.4299999999,0.0,784625.7657645182,0.9419476930889006
2019-07-04,692646.5,45400.429999999986,0.0,738046.9299999999,0.0,784625.7657645182,0.9406356026058702
2019-07-05,694856.0000000001,45400.429999999986,0.0,740256.43,0.0,784625.7657645182,0.9434515947595911
2019-07-08,672645.2000000001,45400.429999999986,0.0,718045.63,0.0,784625.7657645182,0.9151440869397856
2019-07-09,673597.1,45400.429999999986,0.0,718997.5299999999,0.0,784625.7657645182,0.9163572767705737
2019-07-10,674435.6,45400.429999999986,0.0,719836.0299999999,0.0,784625.7657645182,0.9174259391018228
2019-07-11,672779.5,45400.429999999986,0.0,718179.9299999999,0.0,784625.7657645182,0.915315251341797
2019-07-12,675320.8,45400.429999999986,0.0,720721.23,0.0,784625.7657645182,0.918554120253429
2019-07-15,685444.6000000001,45400.429999999986,0.0,730845.03,0.0,784625.7657645182,0.931456831892188
2019-07-16,685691.7000000001,45400.429999999986,0.0,731092.13,0.0,784625.7657645182,0.931771759097974
2019-07-17,448612.4,286578.05,0.0,735190.45,0.0,784625.7657645182,0.9369950390090112
2019-07-18,441317.89999999997,6578.049999999988,-280000.0,447895.94999999995,-298827.62271199946,485798.1430525187,0.9219795431609519
2019-07-19,444375.89999999997,6578.049999999988,0.0,450953.94999999995,0.0,485798.1430525187,0.9282743387334195
2019-07-22,436737.10000000003,6578.049999999988,0.0,443315.15,0.0,485798.1430525187,0.9125501123047193
2019-07-23,445284.9,6578.049999999988,0.0,451862.95,0.0,485798.1430525187,0.9301454862727829
2019-07-24,453449.8,6578.049999999988,0.0,460027.85,0.0,485798.1430525187,0.9469526727899972
2019-07-25,458248.7,6578.049999999988,0.0,464826.75,0.0,485798.1430525187,0.9568310555475887
2019-07-26,460287.9,6578.049999999988,0.0,466865.95,0.0,485798.1430525187,0.9610286837789086
2019-07-29,462796.0,6578.049999999988,0.0,469374.05,0.0,485798.1430525187,0.9661915277211277
2019-07-30,461104.3,6578.049999999988,0.0,467682.35,0.0,485798.1430525187,0.9627092171684973
2019-07-31,462445.79999999993,6578.049999999988,0.0,469023.8499999999,0.0,485798.1430525187,0.9654706521784597
2019-08-01,458562.9,6578.049999999988,0.0,465140.95,0.0,485798.1430525187,0.9574778262372124
2019-08-02,451949.6000000001,6578.049999999988,0.0,458527.6500000001,0.0,485798.1430525187,0.9438645588861988
2019-08-05,448398.8,6578.049999999988,0.0,454976.85,0.0,485798.1430525187,0.9365553502142829
2019-08-06,438000.30000000005,6578.049999999988,0.0,444578.35000000003,0.0,485798.1430525187,0.9151503692593109
2019-08-07,430790.7,6578.049999999988,0.0,437368.75,0.0,485798.1430525187,0.9003096373563472
2019-08-08,440952.30000000005,6578.049999999988,0.0,447530.35000000003,0.0,485798.1430525187,0.9212269672089265
2019-08-09,433951.39999999997,6578.049999999988,0.0,440529.44999999995,0.0,485798.1430525187,0.9068158376068044
2019-08-12,445478.60000000003,6578.049999999988,0.0,452056.65,0.0,485798.1430525187,0.930544211551523
2019-08-13,442400.89999999997,6675.549999999988,0.0,449076.44999999995,0.0,485798.1430525187,0.9244095648003561
2019-08-14,445975.6,6675.549999999988,0.0,452651.14999999997,0.0,485798.1430525187,0.9317679708608205
2019-08-15,449352.20000000007,6675.549999999988,0.0,456027.75000000006,0.0,485798.1430525187,0.9387185943827285
2019-08-16,450864.89999999997,6675.549999999988,0.0,457540.44999999995,0.0,485798.1430525187,0.9418324391382783
2019-08-19,467926.30000000005,6675.549999999988,0.0,474601.85000000003,0.0,485798.1430525187,0.9769527874640141
2019-08-20,467613.10000000003,6675.549999999988,0.0,474288.65,0.0,485798.1430525187,0.9763080752425305
2019-08-21,469095.4,6675.549999999988,0.0,475770.95,0.0,485798.1430525187,0.9793593425666209
2019-08-22,471662.19999999995,46675.54999999999,40000.0,518337.74999999994,40843.0269273497,526641.1699798685,0.9842332494054995
2019-08-23,468730.7,46675.54999999999,0.0,515406.25,0.0,526641.1699798685,0.9786668406871838
2019-08-26,467366.8,46675.54999999999,0.0,514042.35,0.0,526641.1699798685,0.976077031766525
2019-08-27,476926.4,46675.54999999999,0.0,523601.95,0.0,526641.1699798685,0.994229049772192
2019-08-28,476272.0,46675.54999999999,0.0,522947.55,0.0,526641.1699798685,0.9929864579709754
2019-08-29,459794.5,266689.54,200000.0,726484.04,201412.6158464146,728053.785826283,0.9978439150281988
2019-08-30,674336.9,56687.22999999998,15.92,731024.13,15.954399040004272,728069.740225323,1.0040578389836152
2019-09-02,694525.8,58524.21999999998,1836.99,753050.02,1829.5659161025453,729899.3061414255,1.0317176816908618
2019-09-03,677892.5,80210.70999999998,0.0,758103.21,0.0,729899.3061414255,1.038640814727819
2019-09-04,683158.7,80210.70999999998,0.0,763369.4099999999,0.0,729899.3061414255,1.0458557825400772
2019-09-05,523486.9,245018.69,735.52,768505.5900000001,703.2709598006309,730602.5771012261,1.0518791119642088
2019-09-06,471208.5,299487.34,0.0,770695.8400000001,0.0,730602.5771012261,1.0548769798456639
2019-09-09,479860.89999999997,299487.34,0.0,779348.24,0.0,730602.5771012261,1.0667198069464516
2019-09-10,418847.0,356491.23000000004,0.0,775338.23,0.0,730602.5771012261,1.0612311731451445
2019-09-11,112323.70000000001,675489.17,15567.3,787812.8700000001,14669.094155860103,745271.6712570862,1.0570814648987765
2019-09-12,112969.4,675489.17,0.0,788458.5700000001,0.0,745271.6712570862,1.0579478603689154
