date,open,close,high,low,volume,code
2018-04-23 09:45,6.3,6.29,6.3,6.29,3998.0,600870
2018-04-23 09:50,6.3,6.32,6.44,6.29,4879.0,600870
2018-04-23 09:55,6.38,6.32,6.38,6.32,1265.0,600870
2018-04-23 10:00,6.32,6.31,6.33,6.3,584.0,600870
2018-04-23 10:05,6.31,6.31,6.33,6.3,1038.0,600870
2018-04-23 10:10,6.32,6.29,6.32,6.29,1176.0,600870
2018-04-23 10:15,6.29,6.28,6.3,6.28,765.0,600870
2018-04-23 10:20,6.28,6.26,6.29,6.25,763.0,600870
2018-04-23 10:25,6.26,6.26,6.27,6.25,967.0,600870
2018-04-23 10:30,6.26,6.26,6.27,6.26,189.0,600870
2018-04-23 10:35,6.26,6.25,6.27,6.24,258.0,600870
2018-04-23 10:40,6.24,6.23,6.25,6.23,368.0,600870
2018-04-23 10:45,6.23,6.24,6.24,6.21,499.0,600870
2018-04-23 10:50,6.24,6.23,6.25,6.23,294.0,600870
2018-04-23 10:55,6.23,6.25,6.25,6.23,218.0,600870
2018-04-23 11:00,6.25,6.26,6.26,6.25,196.0,600870
2018-04-23 11:05,6.26,6.25,6.27,6.23,460.0,600870
2018-04-23 11:10,6.25,6.28,6.28,6.25,51.0,600870
2018-04-23 11:15,6.28,6.25,6.28,6.25,321.0,600870
2018-04-23 11:20,6.25,6.25,6.25,6.24,253.0,600870
2018-04-23 11:25,6.25,6.25,6.25,6.24,223.0,600870
2018-04-23 11:30,6.25,6.27,6.3,6.25,481.0,600870
2018-04-23 13:05,6.26,6.29,6.29,6.26,127.0,600870
2018-04-23 13:10,6.29,6.3,6.3,6.27,5091.0,600870
2018-04-23 13:15,6.3,6.3,6.31,6.29,1351.0,600870
2018-04-23 13:20,6.3,6.38,6.4,6.3,2299.0,600870
2018-04-23 13:25,6.4,6.45,6.45,6.39,9559.0,600870
2018-04-23 13:30,6.45,6.3,6.45,6.3,7359.0,600870
2018-04-23 13:35,6.3,6.3,6.3,6.29,623.0,600870
2018-04-23 13:40,6.3,6.25,6.38,6.24,2796.0,600870
2018-04-23 13:45,6.25,6.25,6.25,6.24,2248.0,600870
2018-04-23 13:50,6.25,6.17,6.25,6.17,2250.0,600870
2018-04-23 13:55,6.17,6.2,6.2,6.17,1149.0,600870
2018-04-23 14:00,6.2,6.17,6.2,6.17,1675.0,600870
2018-04-23 14:05,6.17,6.19,6.19,6.16,860.0,600870
2018-04-23 14:10,6.19,6.17,6.2,6.15,1067.0,600870
2018-04-23 14:15,6.17,5.96,6.17,5.94,3112.0,600870
2018-04-23 14:20,5.96,6.02,6.08,5.95,1873.0,600870
2018-04-23 14:25,6.02,6.02,6.06,6.01,704.0,600870
2018-04-23 14:30,6.02,5.94,6.02,5.94,9229.0,600870
2018-04-23 14:35,5.94,5.94,5.94,5.94,1371.0,600870
2018-04-23 14:40,5.94,5.94,5.95,5.94,3741.0,600870
2018-04-23 14:45,5.94,5.94,5.94,5.94,1497.0,600870
2018-04-23 14:50,5.94,5.94,5.94,5.94,1271.0,600870
2018-04-23 14:55,5.94,5.99,6.0,5.94,3275.0,600870
2018-04-23 15:00,5.99,5.97,6.05,5.94,10887.0,600870
2018-04-24 09:35,5.9,5.92,6.09,5.89,10641.0,600870
2018-04-24 09:40,5.92,5.91,6.04,5.9,5703.0,600870
2018-04-24 09:45,5.91,5.82,5.91,5.81,2810.0,600870
2018-04-24 09:50,5.82,5.73,5.82,5.73,5400.0,600870
2018-04-24 09:55,5.73,5.5,5.74,5.4,15411.0,600870
2018-04-24 10:00,5.5,5.52,5.55,5.49,5747.0,600870
2018-04-24 10:05,5.54,5.59,5.59,5.53,2217.0,600870
2018-04-24 10:10,5.59,5.56,5.6,5.54,1852.0,600870
2018-04-24 10:15,5.56,5.59,5.6,5.56,2626.0,600870
2018-04-24 10:20,5.59,5.63,5.65,5.59,1276.0,600870
2018-04-24 10:25,5.63,5.62,5.64,5.62,1612.0,600870
2018-04-24 10:30,5.62,5.6,5.62,5.59,1061.0,600870
2018-04-24 10:35,5.6,5.62,5.63,5.6,980.0,600870
2018-04-24 10:40,5.62,5.66,5.67,5.62,846.0,600870
2018-04-24 10:45,5.66,5.64,5.67,5.63,988.0,600870
2018-04-24 10:50,5.64,5.56,5.64,5.56,2075.0,600870
2018-04-24 10:55,5.56,5.58,5.58,5.56,573.0,600870
2018-04-24 11:00,5.57,5.64,5.64,5.57,2279.0,600870
2018-04-24 11:05,5.64,5.66,5.67,5.62,927.0,600870
2018-04-24 11:10,5.66,5.62,5.66,5.61,891.0,600870
2018-04-24 11:15,5.62,5.62,5.62,5.6,582.0,600870
2018-04-24 11:20,5.62,5.65,5.66,5.62,723.0,600870
2018-04-24 11:25,5.65,5.65,5.65,5.64,996.0,600870
2018-04-24 11:30,5.65,5.65,5.65,5.65,274.0,600870
2018-04-24 13:05,5.64,5.64,5.65,5.64,1992.0,600870
2018-04-24 13:10,5.64,5.65,5.66,5.64,689.0,600870
2018-04-24 13:15,5.65,5.67,5.67,5.65,331.0,600870
2018-04-24 13:20,5.67,5.67,5.67,5.65,1613.0,600870
2018-04-24 13:25,5.67,5.65,5.7,5.65,1566.0,600870
2018-04-24 13:30,5.65,5.63,5.65,5.62,1144.0,600870
2018-04-24 13:35,5.63,5.63,5.65,5.59,1686.0,600870
2018-04-24 13:40,5.63,5.61,5.65,5.61,1039.0,600870
2018-04-24 13:45,5.61,5.59,5.61,5.57,1364.0,600870
2018-04-24 13:50,5.59,5.58,5.59,5.57,1561.0,600870
2018-04-24 13:55,5.58,5.58,5.58,5.57,651.0,600870
2018-04-24 14:00,5.58,5.59,5.59,5.57,1026.0,600870
2018-04-24 14:05,5.59,5.57,5.61,5.57,1780.0,600870
2018-04-24 14:10,5.57,5.52,5.57,5.52,5387.0,600870
2018-04-24 14:15,5.53,5.51,5.54,5.5,4949.0,600870
2018-04-24 14:20,5.51,5.51,5.51,5.49,3048.0,600870
2018-04-24 14:25,5.5,5.61,5.61,5.5,5556.0,600870
2018-04-24 14:30,5.62,5.71,5.75,5.62,10642.0,600870
2018-04-24 14:35,5.71,5.66,5.75,5.66,7682.0,600870
2018-04-24 14:40,5.66,5.68,5.69,5.66,645.0,600870
2018-04-24 14:45,5.68,5.99,6.0,5.68,16801.0,600870
2018-04-24 14:50,5.97,5.95,5.98,5.91,4984.0,600870
2018-04-24 14:55,5.95,6.0,6.0,5.92,9192.0,600870
2018-04-24 15:00,6.0,5.93,6.0,5.92,3816.0,600870
2018-04-25 09:35,5.66,5.69,5.74,5.66,9041.0,600870
2018-04-25 09:40,5.69,5.59,5.7,5.58,3876.0,600870
2018-04-25 09:45,5.59,5.65,5.67,5.59,1228.0,600870
2018-04-25 09:50,5.65,5.65,5.66,5.62,2707.0,600870
2018-04-25 09:55,5.65,5.65,5.66,5.64,1271.0,600870
2018-04-25 10:00,5.65,5.62,5.65,5.61,2096.0,600870
2018-04-25 10:05,5.62,5.61,5.64,5.61,2611.0,600870
2018-04-25 10:10,5.61,5.63,5.63,5.6,1747.0,600870
2018-04-25 10:15,5.63,5.62,5.64,5.6,2022.0,600870
2018-04-25 10:20,5.62,5.62,5.62,5.6,2197.0,600870
2018-04-25 10:25,5.62,5.6,5.63,5.6,2744.0,600870
2018-04-25 10:30,5.6,5.65,5.65,5.6,1507.0,600870
2018-04-25 10:35,5.61,5.63,5.64,5.61,1770.0,600870
2018-04-25 10:40,5.63,5.63,5.65,5.61,1599.0,600870
2018-04-25 10:45,5.63,5.62,5.65,5.62,1136.0,600870
2018-04-25 10:50,5.62,5.66,5.66,5.61,1620.0,600870
2018-04-25 10:55,5.66,5.61,5.66,5.61,1124.0,600870
2018-04-25 11:00,5.61,5.63,5.64,5.61,629.0,600870
